Node1,Node2,Weight
5,855,1
753,1184,1
10,1216,1
18,1257,1
28,1202,1
1311,1409,1
858,612,1
404,212,1
1001,289,1
305,202,1
72,608,1
608,803,1
131,1280,1
1024,452,1
765,623,1
780,881,1
782,1426,1
321,602,1
718,484,1
508,603,1
1006,1199,1
1497,244,2
332,1060,2
1441,185,2
985,933,2
1348,1077,2
1348,1365,2
32,239,2
1035,172,2
42,838,2
1042,436,2
1028,536,2
364,1200,2
113,1175,2
672,1253,2
987,331,2
612,620,2
1002,1469,2
250,352,2
909,551,2
1328,673,2
321,1244,2
1161,837,2
1299,509,2
1054,603,2
1497,1199,3
29,1263,3
1315,690,3
291,868,3
895,156,3
1247,377,3
211,675,3
840,159,3
61,955,3
66,1039,3
453,122,3
259,1395,3
422,681,3
115,1437,3
1212,264,3
952,544,3
116,1359,3
1186,977,3
844,506,3
444,481,3
446,421,3
874,1471,3
264,1469,3
593,1260,3
1036,550,3
68,826,4
470,997,4
8,922,4
822,1202,4
12,1155,4
959,400,4
1189,327,4
109,168,4
1170,236,4
546,1059,4
784,1463,4
1347,1049,4
1268,1259,4
734,805,4
852,754,4
60,284,4
69,1205,4
70,105,4
71,257,4
257,516,4
1499,508,4
749,351,4
1465,1210,4
661,866,4
1218,709,4
1198,987,4
679,1406,4
392,1358,4
205,960,4
833,950,4
311,494,4
1395,418,4
521,1106,4
329,442,4
1217,1253,4
1126,1119,4
518,1485,5
408,1328,5
344,321,5
393,1073,5
1241,721,5
574,95,5
787,1308,5
168,210,5
657,977,5
1124,1493,5
103,928,5
940,1250,5
617,1377,5
163,726,5
179,780,5
303,953,5
327,812,5
1196,656,5
264,541,5
982,1369,5
1472,892,5
550,1417,5
1488,813,6
1390,213,6
1181,1118,6
918,813,6
1374,1129,6
1233,201,6
106,1039,6
38,614,6
734,876,6
379,718,6
136,1447,6
1447,1410,6
166,282,6
739,640,6
281,1477,6
272,634,6
336,825,6
778,1451,6
642,1438,6
709,1456,6
2,512,7
1183,733,7
132,219,7
31,728,7
1347,926,7
979,437,7
687,871,7
305,317,7
325,406,7
653,587,7
99,938,7
635,1391,7
395,1426,7
545,1436,7
970,1298,7
1319,634,7
1221,1217,7
1445,494,7
1018,738,7
916,622,7
870,1414,7
1430,780,8
1181,794,8
123,498,8
19,1156,8
28,660,8
546,801,8
279,521,8
174,116,8
1023,220,8
1387,1130,8
1334,1485,8
93,141,8
555,915,8
1099,945,8
1079,423,8
583,1415,8
1173,1161,8
1049,963,8
1401,698,8
735,1457,8
1206,366,8
636,1255,8
606,1444,8
1417,1459,8
497,429,9
1297,869,9
443,434,9
1189,1393,9
1329,1368,9
42,1347,9
1259,1292,9
208,1092,9
229,560,9
1480,258,9
353,541,9
1124,758,9
107,1290,9
110,395,9
210,1129,9
1336,1418,9
919,1222,9
392,1121,9
830,613,9
348,553,9
767,820,9
311,828,9
667,703,9
1275,378,9
1490,397,9
1472,709,9
963,1008,9
239,846,10
1131,340,10
283,362,10
221,1096,10
41,784,10
734,738,10
365,1214,10
1103,63,10
1446,1385,10
1057,553,10
229,170,10
1039,952,10
74,848,10
453,1079,10
1014,1115,10
1163,527,10
584,347,10
214,833,10
268,766,10
250,483,10
108,1099,11
1156,1275,11
44,734,11
1374,1462,11
373,340,11
859,521,11
1053,709,11
1037,496,11
259,1093,11
149,882,11
165,1052,11
670,648,11
33,420,12
1033,249,12
1329,1391,12
393,350,12
838,1461,12
1498,499,12
1465,1185,12
162,548,12
745,891,12
1378,628,12
449,960,12
1174,1477,12
209,303,12
1252,1134,12
4,1440,13
9,361,13
1257,1262,13
532,719,13
1372,522,13
1333,288,13
880,1022,13
58,1091,13
596,667,13
1272,386,13
252,962,13
1466,1176,13
1030,772,13
122,844,13
1270,251,13
181,1049,13
696,761,13
271,337,13
5,1178,14
1309,342,14
425,653,14
17,33,14
1136,102,14
285,1446,14
25,1251,14
218,59,14
208,325,14
615,1004,14
983,516,14
141,958,14
1124,202,14
1095,831,14
1149,628,14
231,1129,14
171,1378,14
625,489,14
723,577,14
642,760,14
1478,1471,15
12,50,15
